trial_id,environment_id,profile_seconds,run_number,attempt_number,mime_type,valid,invalid_reason,recording_started_ms,stop_requested_ms,recorder_stop_called_ms,last_dataavailable_ms,stop_event_ms,blob_completed_ms,visibility_change_count,started_visibility_state,ended_visibility_state,blob_size_bytes,webm_duration_seconds,wav_duration_seconds,duration_method_difference_seconds,stop_request_delay_seconds,stop_call_delay_seconds,recorder_tail_seconds,total_overrun_seconds
env-a-p060-r01-a01,env-a,60,1,1,audio/webm;codecs=opus,true,null,0.0,60001.89999997616,60001.89999997616,60005.09999996424,60005.09999996424,60007.80000001192,0,visible,visible,966328,59.940429,60.0,0.059570999999998264,0.0018999999761604158,0.0,-0.06147099997615868,-0.059570999999998264
env-a-p060-r02-a01,env-a,60,2,1,audio/webm;codecs=opus,true,null,0.0,60012.39999997616,60012.39999997616,60016.80000001192,60017.0,60018.39999997616,0,visible,visible,967294,59.999894,60.06,0.060106000000004656,0.012399999976160814,0.0,-0.012505999976163196,-0.00010600000000238197
env-a-p060-r03-a01,env-a,60,3,1,audio/webm;codecs=opus,true,null,0.0,60001.40000003576,60001.5,60007.40000003576,60007.40000003576,60008.10000002384,0,visible,visible,967326,60.000457,60.06,0.05954300000000501,0.0014000000357654585,0.00009999996423721313,-0.0009430000357681934,0.00045699999999726515
env-a-p060-r04-a01,env-a,60,4,1,audio/webm;codecs=opus,true,null,0.0,60002.0,60002.0,60005.0,60005.0,60006.700000047684,0,visible,visible,967326,60.000003,60.06,0.05999700000000274,0.0020000000000024443,0.0,-0.001997000000002913,0.0000029999999995311555
env-a-p060-r05-a01,env-a,60,5,1,audio/webm;codecs=opus,true,null,0.0,60001.5,60001.5,60004.40000003576,60004.40000003576,60006.30000001192,0,visible,visible,967294,59.999945,60.06,0.06005500000000552,0.0015000000000000568,0.0,-0.0015550000000033037,-0.000055000000003246896
env-a-p090-r01-a01,env-a,90,1,1,audio/webm;codecs=opus,true,null,0.0,90002.09999996424,90002.09999996424,90006.30000001192,90006.5,90008.89999997616,0,visible,visible,1449359,89.940046,90.0,0.059954000000004726,0.002099999964244148,0.0,-0.062053999964248874,-0.059954000000004726
env-a-p090-r02-a01,env-a,90,2,1,audio/webm;codecs=opus,true,null,0.0,90002.19999998808,90002.19999998808,90005.5,90005.59999996424,90008.59999996424,0,visible,visible,1450326,89.999945,90.06,0.06005500000000552,0.002199999988079071,0.0,-0.002254999988082318,-0.000055000000003246896
env-a-p090-r03-a01,env-a,90,3,1,audio/webm;codecs=opus,true,null,0.0,90002.89999997616,90002.89999997616,90006.59999996424,90006.69999998808,90010.69999998808,0,visible,visible,1450360,90.000015,90.06,0.05998499999999751,0.0028999999761651907,0.0,-0.0028849999761604295,0.000015000000004761205
env-a-p090-r04-a01,env-a,90,4,1,audio/webm;codecs=opus,true,null,0.0,90000.60000002384,90000.60000002384,90007.70000004768,90007.80000001192,90008.80000001192,0,visible,visible,1450360,90.000218,90.06,0.05978199999999845,0.0006000000238373104,0.0,-0.0003820000238334842,0.00021800000000382624
env-a-p090-r05-a01,env-a,90,5,1,audio/webm;codecs=opus,true,null,0.0,90000.89999997616,90001.0,90004.69999998808,90004.69999998808,90005.19999998808,0,visible,visible,1450326,89.999937,90.06,0.06006299999999953,0.000899999976155641,0.00010000002384185791,-0.0009629999761529007,-0.00006299999999725969
env-a-p120-r01-a01,env-a,120,1,1,audio/webm;codecs=opus,true,null,0.0,120001.69999998808,120001.69999998808,120016.39999997616,120018.09999996424,120023.69999998808,0,visible,visible,1933394,120.000656,120.06,0.059343999999995845,0.0016999999880766836,0.0,-0.0010439999880702544,0.0006560000000064292
env-a-p120-r02-a01,env-a,120,2,1,audio/webm;codecs=opus,true,null,0.0,120001.30000001192,120001.39999997616,120005.19999998808,120005.19999998808,120005.80000001192,0,visible,visible,1933394,120.000054,120.06,0.0599459999999965,0.00130000001192343,0.00009999996423721313,-0.0012460000119176584,0.00005400000000577165
env-a-p120-r03-a01,env-a,120,3,1,audio/webm;codecs=opus,true,null,0.0,120001.0,120001.0,120008.30000001192,120008.5,120011.39999997616,0,visible,visible,1933394,120.000625,120.06,0.05937500000000284,0.0010000000000047748,0.0,-0.0003750000000053433,0.0006249999999994316
env-a-p120-r04-a01,env-a,120,4,1,audio/webm;codecs=opus,true,null,0.0,120001.10000002384,120001.10000002384,120005.80000001192,120005.80000001192,120006.40000003576,0,visible,visible,1933394,120.000218,120.06,0.05978199999999845,0.0011000000238396979,0.0,-0.0008820000238358716,0.00021800000000382624
env-a-p120-r05-a01,env-a,120,5,1,audio/webm;codecs=opus,true,null,0.0,120009.30000001192,120009.30000001192,120014.60000002384,120014.60000002384,120015.30000001192,0,visible,visible,1933394,120.000007,120.06,0.059993000000005736,0.009300000011918996,0.0,-0.009293000011922459,0.000006999999996537554
